"Country_Name";"GDP_per_capita_USD";"GDP_per_capita_growth_annual";"FDI_USD";"total_cases_per_mio";"total_deaths_per_mio"
"Albania";"6492.87";"9.52603";"1218586452";"73496";"1130.06"
"Algeria";"3690.63";"1.79842";"869176318";"4855.71";"139.656"
"Belize";"6228.27";"13.7542";"130046493";"79122.1";"1473.04"
"Benin";"1319.16";"4.23898";"345985236";"1875.55";"12.057"
"Bolivia";"3345.2";"4.84697";"583576425";"48410.3";"1607.48"
"Botswana";"6805.22";"9.56202";"55155205";"84421.2";"932.213"
"Burkina Faso";"893.077";"4.11014";"-79957355";"777.639";"14.025"
"Burundi";"221.478";"-0.889127";"7898030";"2370.13";"1.086"
"Cameroon";"1666.93";"0.953584";"963531503";"3928.63";"66.381"
"Central African Republic";"461.137";"-1.21028";"30174177";"2232.24";"18.103"
"Chad";"685.69";"-4.27698";"562165726";"321.667";"10.213"
"Cote d'Ivoire";"2549.04";"4.44186";"1392435143";"2419.91";"25.284"
"Ecuador";"5965.13";"3.01038";"647576151";"30320.5";"1870.4"
"El Salvador";"4551.18";"9.90409";"830501615";"19213";"603.34"
"Fiji";"4646.61";"-5.5414";"409894560";"57961.7";"750.724"
"Gabon";"8635.33";"-0.644206";"1634824190";"17496";"120.553"
"Grenada";"9010.57";"3.89235";"144226099";"48406.3";"1594.15"
"Guinea";"1189.18";"1.39114";"197610000";"2341.24";"28.212"
"Guinea-Bissau";"795.119";"1.53871";"18529723";"3079.44";"70.764"
"Haiti";"1829.59";"-3.0058";"51299000";"2258.87";"66.724"
"Honduras";"2771.72";"10.8197";"875943664";"36379.5";"1000.11"
"Jamaica";"5183.58";"4.33148";"320480000";"33101.6";"873.6"
"Kenya";"2081.8";"5.44871";"463348936";"5409.04";"99.505"
"Lesotho";"1094.1";"0.132493";"-12372192";"12859.6";"291.002"
"Madagascar";"500.511";"1.90932";"357536665";"1697.94";"34.682"
"Maldives";"10366.3";"39.8372";"443473179";"182704";"500.193"
"Mali";"873.795";"-0.150902";"639944165";"914.861";"29.123"
"Mauritania";"2166.05";"-0.137868";"1070252545";"8689.34";"182.216"
"Mauritius";"9106.24";"3.6774";"253189253";"70100.5";"604.858"
"Nepal";"1208.22";"1.86468";"196326024";"27119.4";"379.539"
"Nicaragua";"2045.54";"8.81986";"1220100000";"1951.96";"31.23"
"Niger";"590.629";"-2.3029";"594829132";"281.021";"10.455"
"Papua New Guinea";"2672.95";"-1.71415";"-10712492";"3568.11";"58.17"
"Paraguay";"5891.5";"2.78084";"207095460";"68738.9";"2451.65"
"Rwanda";"822.348";"8.28556";"211896129";"8025";"97.919"
"Sierra Leone";"480.039";"1.79688";"212289193";"811.437";"14.293"
"Sri Lanka";"4013.69";"2.22149";"597522168";"26898.2";"686.098"
"Sudan";"751.821";"-4.48362";"522869617";"1000.78";"71.191"
"Tanzania";"1099.29";"1.19526";"921826558";"447.435";"11.252"
"Tunisia";"3807.14";"3.46166";"533089200";"58743.5";"2068.94"
"Uganda";"883.892";"0.264401";"1100458611";"3019.52";"69.778"
"Zambia";"1137.34";"1.6691";"-351646566";"12448.7";"186.335"
"Zimbabwe";"1773.92";"6.27161";"166000000";"12973.1";"306.179"
